"sub","session","n","modality","prt","dprime","accuracy","sex","group"
"sub-10",4,2,"audio",1.24809666666667,3.20237411289628,86.2333333333333,"Female","Control"
"sub-11",1,1,"audio",1.02401666666667,3.29142633773999,88.225,"Female","Experimental"
"sub-11",1,2,"audio",1.34842666666667,1.73369733984687,78.1833333333333,"Female","Experimental"
"sub-11",2,1,"audio",0.992756666666667,4.6672300478363,90.25,"Female","Experimental"
"sub-11",2,2,"audio",1.14088333333333,3.8437894080113,88.2416666666667,"Female","Experimental"
"sub-11",3,1,"audio",0.84648,4.1204625871269,89.2416666666667,"Female","Experimental"
"sub-11",3,2,"audio",0.78187,4.6672300478363,90.25,"Female","Experimental"
"sub-11",4,1,"audio",0.828513333333333,4.6672300478363,90.25,"Female","Experimental"
"sub-11",4,2,"audio",0.686103333333333,4.6672300478363,90.25,"Female","Experimental"
"sub-12",1,1,"audio",1.09637666666667,3.8437894080113,88.2416666666667,"Female","Control"
"sub-12",1,2,"audio",1.50961666666667,2.04310479248106,83.1833333333333,"Female","Control"
"sub-12",2,1,"audio",1.02867,4.41459318549596,89.25,"Female","Control"
"sub-12",2,2,"audio",1.22950666666667,3.42713345383897,85.2416666666667,"Female","Control"
"sub-12",3,1,"audio",1.00300333333333,3.8437894080113,88.2416666666667,"Female","Control"
"sub-12",3,2,"audio",1.38052666666667,2.9446862524527,87.2166666666667,"Female","Control"
"sub-12",4,1,"audio",1.08875,3.9619598700009,87.25,"Female","Control"
"sub-12",4,2,"audio",1.3196,3.12064638883217,88.2166666666667,"Female","Control"
"sub-13",1,1,"audio",1.31274333333333,2.9446862524527,87.2166666666667,"Female","Control"
"sub-13",1,2,"audio",1.52722,2.456840359026,87.1833333333333,"Female","Control"
"sub-13",2,1,"audio",1.27624,2.9446862524527,87.2166666666667,"Female","Control"
"sub-13",2,2,"audio",1.44343333333333,2.73778806307703,88.1916666666667,"Female","Control"
"sub-13",3,1,"audio",0.98103,3.66782927163183,87.2416666666667,"Female","Control"
"sub-13",3,2,"audio",1.40841,3.12064638883217,88.2166666666667,"Female","Control"
"sub-13",4,1,"audio",1.02311,3.66782927163183,87.2416666666667,"Female","Control"
"sub-13",4,2,"audio",1.56763333333333,2.97729633829709,88.2083333333333,"Female","Control"
"sub-14",1,1,"audio",1.06614666666667,4.37309944946723,90.2416666666667,"Female","Experimental"
"sub-14",1,2,"audio",1.46156666666667,2.17776877698349,88.1416666666667,"Female","Experimental"
"sub-14",2,1,"audio",1.03708,3.25396951741268,89.2083333333333,"Female","Experimental"
"sub-14",2,2,"audio",0.95207,4.04027075969534,90.2333333333333,"Female","Experimental"
"sub-14",3,1,"audio",0.808223333333333,4.41459318549596,89.25,"Female","Experimental"
"sub-14",3,2,"audio",0.90349,3.78763389735501,89.2333333333333,"Female","Experimental"
"sub-14",4,1,"audio",0.916426666666667,4.37309944946723,90.2416666666667,"Female","Experimental"
"sub-14",4,2,"audio",1.03747,3.12064638883217,88.2166666666667,"Female","Experimental"
"sub-15",1,1,"audio",1.18843333333333,3.8437894080113,88.2416666666667,"Female","Control"
"sub-15",1,2,"audio",1.50052666666667,2.2489731316463,81.2083333333333,"Female","Control"
"sub-15",2,1,"audio",1.10253666666667,3.66782927163183,87.2416666666667,"Female","Control"
"sub-15",2,2,"audio",1.33525333333333,2.70173063481557,83.225,"Female","Control"
"sub-15",3,1,"audio",0.98015,3.09430476406708,85.2333333333333,"Female","Control"
"sub-15",3,2,"audio",1.37198666666667,1.97055460078497,82.1833333333333,"Female","Control"
"sub-15",4,1,"audio",0.93223,4.6672300478363,90.25,"Female","Control"
"sub-15",4,2,"audio",1.22610333333333,2.78263751158863,81.2333333333333,"Female","Control"
"sub-16",1,1,"audio",1.28192666666667,3.12064638883217,88.2166666666667,"Female","Experimental"
"sub-16",1,2,"audio",1.54084333333333,1.71227886484006,81.1666666666667,"Female","Experimental"
"sub-16",2,1,"audio",1.11091666666667,4.37309944946723,90.2416666666667,"Female","Experimental"
"sub-16",2,2,"audio",1.27529333333333,4.1204625871269,89.2416666666667,"Female","Experimental"
"sub-16",3,1,"audio",1.08973,3.8437894080113,88.2416666666667,"Female","Experimental"
