sub,session,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
LB014,15,1,2,2,3,3,4,3,2,3,2,3,3,3,3,2,3,4,3,3,2
LB014,16,1,2,3,4,3,3,2,2,3,3,3,4,3,3,2,3,3,3,3,3
LB014,17,1,2,3,3,3,4,3,3,3,4,3,4,3,3,3,4,3,2,3,4
LB014,18,1,2,3,3,2,3,3,3,3,3,3,3,3,3,2,3,4,3,2,3
LB016,1,1,2,1,2,2,2,2,2,2,2,2,2,2,3,2,1,2,2,1,2
LB016,2,1,2,2,3,2,2,2,1,2,3,2,3,2,2,2,2,2,2,2,2
LB016,3,1,2,2,2,2,2,3,2,2,1,2,2,3,2,3,2,2,2,3,3
LB016,4,1,2,3,2,3,2,2,1,2,2,3,3,2,3,3,2,3,2,3,2
LB016,5,1,2,2,3,2,1,2,3,2,3,3,3,2,2,2,3,2,2,2,2
LB016,6,1,2,2,3,2,3,2,2,3,3,2,3,2,3,3,2,3,3,2,2
LB016,7,1,1,2,2,3,3,2,3,3,2,3,3,2,2,2,3,2,3,2,3
LB016,8,1,1,2,3,2,3,2,2,3,2,2,3,3,2,2,3,2,1,2,2
LB016,9,1,2,3,2,2,3,3,2,3,2,3,2,3,2,2,3,3,2,3,2
LB016,10,1,2,3,2,3,2,3,3,3,3,2,3,3,2,3,2,3,3,2,2
LB016,11,1,2,2,2,3,3,2,3,2,2,3,3,2,3,3,3,3,2,3,3
LB016,12,1,2,3,4,3,3,2,3,2,3,3,3,2,3,2,3,3,3,2,2
LB016,13,1,2,3,2,3,2,2,3,3,3,4,3,2,3,3,2,2,3,3,3
LB016,14,1,2,2,1,2,3,3,3,2,3,3,3,3,4,3,3,3,3,3,2
LB016,15,1,2,3,3,3,3,3,4,4,3,2,3,4,3,2,3,2,3,3,4
LB016,16,1,2,3,3,3,2,3,3,3,4,4,3,2,2,3,4,3,3,3,3
LB016,17,1,2,3,4,3,2,3,3,4,4,3,4,4,3,3,2,3,3,3,3
LB016,18,1,2,3,4,3,3,3,3,2,3,3,4,3,3,3,3,2,3,4,3
LB018,1,1,2,2,3,2,2,1,2,2,2,2,2,3,2,3,2,2,2,2,2
LB018,2,1,2,3,3,2,3,2,2,2,3,4,3,2,2,3,2,3,3,2,3
LB018,3,1,2,3,3,2,3,3,2,3,3,2,3,2,3,3,4,3,2,3,2
LB018,4,1,2,3,3,3,3,3,2,3,2,3,3,2,3,3,2,3,2,3,3
LB018,5,1,2,3,2,3,2,3,2,3,2,3,2,3,3,2,2,3,2,3,2
LB018,6,1,2,3,2,3,2,3,2,3,2,3,3,3,2,3,3,3,4,3,2
LB018,7,1,2,3,3,3,3,3,2,3,2,3,4,3,4,3,3,3,3,4,3
LB018,8,1,2,3,3,2,3,2,3,2,2,2,1,2,3,3,4,5,4,4,3
LB018,9,1,2,3,4,3,4,3,2,3,2,3,2,3,3,3,2,3,2,3,3
LB018,10,1,2,3,3,3,3,3,3,4,3,3,2,3,3,3,2,3,3,3,3
LB018,11,1,2,3,3,3,4,3,3,3,3,2,3,3,3,4,3,4,4,3,3
LB018,12,1,2,3,2,1,2,3,4,4,3,4,4,5,5,5,6,5,5,5,5
LB018,13,1,2,3,3,3,3,2,3,3,3,3,3,4,3,3,4,3,4,3,2
LB018,14,1,2,3,4,4,4,4,4,4,4,4,4,4,5,4,4,5,5,4,4
LB018,15,1,2,3,3,3,2,3,2,3,4,4,5,4,4,5,5,5,5,4,4
LB018,16,1,1,2,3,3,4,3,3,4,4,4,4,5,5,5,6,6,7,6,5
LB018,17,1,2,3,4,5,5,5,5,6,6,5,4,4,4,3,2,3,4,5,5
